Id,SOURCE,TARGET,LabelSource,LabelTarget
2866,410,1494,Fiserv,BlueVoyant
2867,1277,1923,Wavemaker Partners,Science
2868,1340,1923,Hearst Ventures,Science
2869,1007,1923,White Star Capital,Science
2870,1277,951,Wavemaker Partners,PLDT
2871,476,951,U.S. Trade and Development Agency,PLDT
2872,1277,1899,Wavemaker Partners,500 Startups
2873,381,1079,Alibaba Group,Xpressbees
2874,803,1079,New Enterprise Associates,Xpressbees
2875,1610,1079,Investcorp,Xpressbees
2876,1456,1079,Norwest Venture Partners,Xpressbees
2877,549,1079,Vertex Ventures,Xpressbees
2878,381,1887,Alibaba Group,Nreal
2879,916,1887,CICC,Nreal
2880,695,1887,Sequoia Capital China,Nreal
2881,664,1887,Shunwei Capital,Nreal
2882,1382,1887,iQiyi,Nreal
2883,472,1123,GSR Ventures,Nium
2884,16,1123,Ripple,Nium
2885,649,1123,MDI Ventures,Nium
2886,549,1123,Vertex Ventures,Nium
2887,293,1123,Rocket Internet,Nium
2888,472,131,GSR Ventures,PolySign
2889,1903,131,Cowen Digital,PolySign
2890,158,131,Cowen Group,PolySign
2891,1555,131,Brevan Howard Asset Management,PolySign
2892,592,1530,GGV Capital,Gro Intelligence
2893,632,1530,Intel Capital,Gro Intelligence
2894,1323,1530,Bossa Nova Investimentos,Gro Intelligence
2895,971,1530,DCVC,Gro Intelligence
2896,1836,1530,One Planet Group,Gro Intelligence
2897,592,724,GGV Capital,Pandora
2898,1811,724,Kohlberg Kravis Roberts,Pandora
2899,828,724,Slow Ventures,Pandora
2900,1252,724,Greylock,Pandora
2901,1788,724,Crosslink Capital,Pandora
2902,803,1742,New Enterprise Associates,Uniphore
2903,555,1742,Sorenson Capital,Uniphore
2904,1112,1742,IIFL Finance,Uniphore
2905,854,1742,Chiratae Ventures,Uniphore
2906,803,901,New Enterprise Associates,Mojo Vision
2907,1589,901,8VC,Mojo Vision
2908,1661,901,Khosla Ventures,Mojo Vision
2909,886,901,Gradient Ventures,Mojo Vision
2910,1153,901,PTC,Mojo Vision
2911,803,523,New Enterprise Associates,HackerOne
2912,1576,523,Valor Equity Partners,HackerOne
2913,1438,523,EQT Ventures,HackerOne
2914,266,523,Dragoneer Investment Group,HackerOne
2915,803,1486,New Enterprise Associates,Juniper Networks
2916,2016,1486,Kleiner Perkins,Juniper Networks
2917,803,650,New Enterprise Associates,Branch
2918,1084,650,Canvas Ventures,Branch
2919,627,650,Cowboy Ventures,Branch
2920,1320,650,Pear VC,Branch
2921,803,1078,New Enterprise Associates,Forethought
2922,1589,1078,8VC,Forethought
2923,2118,1078,South Park Commons,Forethought
2924,1624,1078,Cleo Capital,Forethought
2925,803,1520,New Enterprise Associates,Cleo
2926,864,1520,Gaingels,Cleo
2927,1252,1520,Greylock,Cleo
2928,514,1520,Forerunner Ventures,Cleo
2929,803,469,New Enterprise Associates,ForAllSecure
2930,346,469,DARPA,ForAllSecure
2931,803,1808,New Enterprise Associates,Evernow
2932,1589,1808,8VC,Evernow
2933,1628,1808,Refactor Capital,Evernow
2934,803,1756,New Enterprise Associates,Canopy
2935,181,1756,Nyca Partners,Canopy
2936,388,1756,EPIC Ventures,Canopy
2937,1041,1756,NewView Capital,Canopy
2938,854,1129,Chiratae Ventures,Kristal.AI
2939,1712,1129,Amit Gupta,Kristal.AI
2940,551,1944,Index Ventures,Typeform
2941,1940,1944,General Atlantic,Typeform
2942,1399,1944,Sofina,Typeform
2943,139,1944,Point Nine,Typeform
2944,1730,1944,Top Tier Capital Partners,Typeform
2945,551,1872,Index Ventures,SESO
2946,1189,1872,HOF Capital,SESO
2947,1306,1872,Shrug Capital,SESO
2948,551,26,Index Ventures,Montonio
2949,404,26,ff Venture Capital,Montonio
2950,1864,26,Startup Wise Guys,Montonio
2951,239,26,Superangel,Montonio
2952,1662,26,Tera Ventures,Montonio
2953,551,1613,Index Ventures,Fast
2954,515,1613,Global Founders Capital,Fast
2955,1985,1613,Stripe,Fast
2956,1946,1613,G Squared,Fast
2957,1018,1613,Addition,Fast
2958,551,533,Index Ventures,Credit Benchmark
2959,423,533,Balderton Capital,Credit Benchmark
2960,1811,964,Kohlberg Kravis Roberts,o9 Solutions
2961,1940,964,General Atlantic,o9 Solutions
2962,992,964,Generation Investment Management,o9 Solutions
2963,1811,242,Kohlberg Kravis Roberts,KnowBe4
2964,1372,242,Elephant,KnowBe4
2965,2117,242,TenEleven Ventures,KnowBe4
2966,1326,242,March Capital,KnowBe4
2967,1811,1745,Kohlberg Kravis Roberts,GoDaddy
2968,776,1745,TCV,GoDaddy
2969,600,1745,Silver Lake,GoDaddy
2970,1040,1745,Starboard Value,GoDaddy
2971,1811,1614,Kohlberg Kravis Roberts,FanDuel
2972,1772,1614,FJ Labs,FanDuel
2973,277,1614,CapitalG,FanDuel
2974,972,1614,Tusk Venture Partners,FanDuel
2975,582,1614,Piton Capital,FanDuel
2976,1159,1926,EquityZen,Zscaler
2977,1616,1926,Lightspeed Venture Partners,Zscaler
2978,277,1926,CapitalG,Zscaler
2979,344,1926,TPG Growth,Zscaler
2980,1159,1728,EquityZen,Adaptive Biotechnologies
